projectID,lakeID,siteName,dateSample,dateTimeSample,depthClass,depthTop,depthBottom,subsampleClass,subsampleDateTime,runID,runDate,replicate,metadataID,prefix,suffix,runName,comments,substrate,antibiotics
antibioticTrial-4Feb2020,NA,NA,2/26/20,2/26/20 0:00,NA,NA,NA,air,2/26/20 0:00,run20022601,2/26/20,1,gc180508,1,20022601,1_20022601,NA,NA,NA
antibioticTrial-4Feb2020,NA,NA,2/26/20,2/26/20 0:00,NA,NA,NA,standard034,2/26/20 0:00,run20022601,2/26/20,1,gc180508,2,20022601,2_20022601,NA,NA,NA
antibioticTrial-4Feb2020,NA,NA,2/26/20,2/26/20 0:00,NA,NA,NA,standard035,2/26/20 0:00,run20022601,2/26/20,1,gc180508,3,20022601,3_20022601,NA,NA,NA
antibioticTrial-4Feb2020,NA,NA,2/26/20,2/26/20 0:00,NA,NA,NA,standard036,2/26/20 0:00,run20022601,2/26/20,1,gc180508,4,20022601,4_20022601,NA,NA,NA
antibioticTrial-4Feb2020,NA,NA,2/26/20,2/26/20 0:00,NA,NA,NA,standard037,2/26/20 0:00,run20022601,2/26/20,1,gc180508,5,20022601,5_20022601,NA,NA,NA
antibioticTrial-4Feb2020,NA,NA,2/26/20,2/26/20 0:00,NA,NA,NA,standard038,2/26/20 0:00,run20022601,2/26/20,1,gc180508,6,20022601,6_20022601,NA,NA,NA
antibioticTrial-4Feb2020,NA,NA,2/26/20,2/26/20 0:00,NA,NA,NA,air,2/26/20 0:00,run20022601,2/26/20,2,gc180508,7,20022601,7_20022601,NA,NA,NA
antibioticTrial-4Feb2020,PL,DeepHole,2/4/20,2/4/20 14:00,lab,NA,NA,methSlurry,2/26/20 14:10,run20022601,2/26/20,1,gc180508,8,20022601,8_20022601,NA,control,control
antibioticTrial-4Feb2020,PL,DeepHole,2/4/20,2/4/20 14:00,lab,NA,NA,methSlurry,2/26/20 14:10,run20022601,2/26/20,2,gc180508,9,20022601,9_20022601,NA,control,control
antibioticTrial-4Feb2020,PL,DeepHole,2/4/20,2/4/20 14:00,lab,NA,NA,methSlurry,2/26/20 14:10,run20022601,2/26/20,3,gc180508,10,20022601,10_20022601,NA,control,control
antibioticTrial-4Feb2020,PL,DeepHole,2/4/20,2/4/20 14:00,lab,NA,NA,methSlurry,2/26/20 14:10,run20022601,2/26/20,4,gc180508,11,20022601,11_20022601,NA,control,control
antibioticTrial-4Feb2020,PL,DeepHole,2/4/20,2/4/20 14:00,lab,NA,NA,methSlurry,2/26/20 14:10,run20022601,2/26/20,1,gc180508,12,20022601,12_20022601,NA,algal,control
antibioticTrial-4Feb2020,PL,DeepHole,2/4/20,2/4/20 14:00,lab,NA,NA,methSlurry,2/26/20 14:10,run20022601,2/26/20,2,gc180508,13,20022601,13_20022601,NA,algal,control
antibioticTrial-4Feb2020,PL,DeepHole,2/4/20,2/4/20 14:00,lab,NA,NA,methSlurry,2/26/20 14:10,run20022601,2/26/20,3,gc180508,14,20022601,14_20022601,NA,algal,control
antibioticTrial-4Feb2020,PL,DeepHole,2/4/20,2/4/20 14:00,lab,NA,NA,methSlurry,2/26/20 14:10,run20022601,2/26/20,4,gc180508,15,20022601,15_20022601,NA,algal,control
antibioticTrial-4Feb2020,PL,DeepHole,2/4/20,2/4/20 14:00,lab,NA,NA,methSlurry,2/26/20 14:10,run20022601,2/26/20,1,gc180508,16,20022601,16_20022601,NA,control,antibiotics
