projectID,lakeID,siteName,dateSample,dateTimeSample,depthClass,depthTop,depthBottom,subsampleClass,subsampleDateTime,runID,runDate,replicate,metadataID,prefix,suffix,runName,comments,substrate,antibiotics
antibioticTrial-4Feb2020,NA,NA,2/17/20,2/17/20 0:00,NA,NA,NA,air,2/17/20 0:00,run20021701,2/17/20,1,gc180508,1,20021701,1_20021701,NA,NA,NA
antibioticTrial-4Feb2020,NA,NA,2/17/20,2/17/20 0:00,NA,NA,NA,standard034,2/17/20 0:00,run20021701,2/17/20,1,gc180508,2,20021701,2_20021701,NA,NA,NA
antibioticTrial-4Feb2020,NA,NA,2/17/20,2/17/20 0:00,NA,NA,NA,standard035,2/17/20 0:00,run20021701,2/17/20,1,gc180508,3,20021701,3_20021701,NA,NA,NA
antibioticTrial-4Feb2020,NA,NA,2/17/20,2/17/20 0:00,NA,NA,NA,standard036,2/17/20 0:00,run20021701,2/17/20,1,gc180508,4,20021701,4_20021701,NA,NA,NA
antibioticTrial-4Feb2020,NA,NA,2/17/20,2/17/20 0:00,NA,NA,NA,standard037,2/17/20 0:00,run20021701,2/17/20,1,gc180508,5,20021701,5_20021701,NA,NA,NA
antibioticTrial-4Feb2020,NA,NA,2/17/20,2/17/20 0:00,NA,NA,NA,standard038,2/17/20 0:00,run20021701,2/17/20,1,gc180508,6,20021701,6_20021701,NA,NA,NA
antibioticTrial-4Feb2020,NA,NA,2/17/20,2/17/20 0:00,NA,NA,NA,air,2/17/20 0:00,run20021701,2/17/20,2,gc180508,7,20021701,7_20021701,NA,NA,NA
antibioticTrial-4Feb2020,PL,DeepHole,2/4/20,2/4/20 14:00,lab,NA,NA,methSlurry,2/17/20 14:10,run20021701,2/17/20,1,gc180508,8,20021701,8_20021701,NA,control,control
antibioticTrial-4Feb2020,PL,DeepHole,2/4/20,2/4/20 14:00,lab,NA,NA,methSlurry,2/17/20 14:10,run20021701,2/17/20,2,gc180508,9,20021701,9_20021701,NA,control,control
antibioticTrial-4Feb2020,PL,DeepHole,2/4/20,2/4/20 14:00,lab,NA,NA,methSlurry,2/17/20 14:10,run20021701,2/17/20,3,gc180508,10,20021701,10_20021701,NA,control,control
antibioticTrial-4Feb2020,PL,DeepHole,2/4/20,2/4/20 14:00,lab,NA,NA,methSlurry,2/17/20 14:10,run20021701,2/17/20,4,gc180508,11,20021701,11_20021701,NA,control,control
antibioticTrial-4Feb2020,PL,DeepHole,2/4/20,2/4/20 14:00,lab,NA,NA,methSlurry,2/17/20 14:10,run20021701,2/17/20,1,gc180508,12,20021701,12_20021701,NA,algal,control
antibioticTrial-4Feb2020,PL,DeepHole,2/4/20,2/4/20 14:00,lab,NA,NA,methSlurry,2/17/20 14:10,run20021701,2/17/20,2,gc180508,13,20021701,13_20021701,NA,algal,control
antibioticTrial-4Feb2020,PL,DeepHole,2/4/20,2/4/20 14:00,lab,NA,NA,methSlurry,2/17/20 14:10,run20021701,2/17/20,3,gc180508,14,20021701,14_20021701,NA,algal,control
antibioticTrial-4Feb2020,PL,DeepHole,2/4/20,2/4/20 14:00,lab,NA,NA,methSlurry,2/17/20 14:10,run20021701,2/17/20,4,gc180508,15,20021701,15_20021701,NA,algal,control
antibioticTrial-4Feb2020,PL,DeepHole,2/4/20,2/4/20 14:00,lab,NA,NA,methSlurry,2/17/20 14:10,run20021701,2/17/20,1,gc180508,16,20021701,16_20021701,NA,control,antibiotics
antibioticTrial-4Feb2020,PL,DeepHole,2/4/20,2/4/20 14:00,lab,NA,NA,methSlurry,2/17/20 14:10,run20021701,2/17/20,2,gc180508,17,20021701,17_20021701,NA,control,antibiotics
antibioticTrial-4Feb2020,PL,DeepHole,2/4/20,2/4/20 14:00,lab,NA,NA,methSlurry,2/17/20 14:10,run20021701,2/17/20,3,gc180508,18,20021701,18_20021701,NA,control,antibiotics
antibioticTrial-4Feb2020,PL,DeepHole,2/4/20,2/4/20 14:00,lab,NA,NA,methSlurry,2/17/20 14:10,run20021701,2/17/20,4,gc180508,19,20021701,19_20021701,NA,control,antibiotics
antibioticTrial-4Feb2020,PL,DeepHole,2/4/20,2/4/20 14:00,lab,NA,NA,methSlurry,2/17/20 14:10,run20021701,2/17/20,1,gc180508,20,20021701,20_20021701,NA,algal,antibiotics
antibioticTrial-4Feb2020,PL,DeepHole,2/4/20,2/4/20 14:00,lab,NA,NA,methSlurry,2/17/20 14:10,run20021701,2/17/20,2,gc180508,21,20021701,21_20021701,NA,algal,antibiotics
antibioticTrial-4Feb2020,PL,DeepHole,2/4/20,2/4/20 14:00,lab,NA,NA,methSlurry,2/17/20 14:10,run20021701,2/17/20,3,gc180508,22,20021701,22_20021701,NA,algal,antibiotics
antibioticTrial-4Feb2020,PL,DeepHole,2/4/20,2/4/20 14:00,lab,NA,NA,methSlurry,2/17/20 14:10,run20021701,2/17/20,4,gc180508,23,20021701,23_20021701,NA,algal,antibiotics
antibioticTrial-4Feb2020,NA,NA,2/17/20,2/17/20 0:00,NA,NA,NA,air,2/17/20 0:00,run20021701,2/17/20,3,gc180508,24,20021701,24_20021701,NA,NA,NA
antibioticTrial-4Feb2020,NA,NA,2/17/20,2/17/20 0:00,NA,NA,NA,standard034,2/17/20 0:00,run20021701,2/17/20,2,gc180508,25,20021701,25_20021701,NA,NA,NA
