"runName","projectID","lakeID","siteName","dateSample","dateTimeSample","depthClass","depthTop","depthBottom","subsampleClass","subsampleDateTime","runID","runDate","replicate","metadataID","prefix","suffix","comments","substrate","antibiotics","FID_RT","TCD_RT","CH4area","CO2area","CH4ppm","CO2ppm","CH4original_umolL","CO2original_umolL"
"1_20021701","antibioticTrial-4Feb2020",NA,NA,"2/17/20","2/17/20 0:00",NA,NA,NA,"air","2/17/20 0:00","run20021701","2/17/20",1,"gc180508",1,20021701,NA,NA,NA,NA,5.058,0,5437.96777,0,441.118812381858,0,18.2041177015365
"2_20021701","antibioticTrial-4Feb2020",NA,NA,"2/17/20","2/17/20 0:00",NA,NA,NA,"standard034","2/17/20 0:00","run20021701","2/17/20",1,"gc180508",2,20021701,NA,NA,NA,3.456,5.048,4465.93604,3241.30273,73.5105351597264,212.859282339765,0,0
"3_20021701","antibioticTrial-4Feb2020",NA,NA,"2/17/20","2/17/20 0:00",NA,NA,NA,"standard035","2/17/20 0:00","run20021701","2/17/20",1,"gc180508",3,20021701,NA,NA,NA,3.451,5.046,1658.81372,9334.83887,45.8547769621144,846.049900974507,0,0
"4_20021701","antibioticTrial-4Feb2020",NA,NA,"2/17/20","2/17/20 0:00",NA,NA,NA,"standard036","2/17/20 0:00","run20021701","2/17/20",1,"gc180508",4,20021701,NA,NA,NA,3.452,5.037,50189.2,51940.6,523.975954166955,5273.29339760679,0,0
"5_20021701","antibioticTrial-4Feb2020",NA,NA,"2/17/20","2/17/20 0:00",NA,NA,NA,"standard037","2/17/20 0:00","run20021701","2/17/20",1,"gc180508",5,20021701,NA,NA,NA,3.447,5.029,294419,81492.4,2930.12699551207,8344.07563206978,0,0
"6_20021701","antibioticTrial-4Feb2020",NA,NA,"2/17/20","2/17/20 0:00",NA,NA,NA,"standard038","2/17/20 0:00","run20021701","2/17/20",1,"gc180508",6,20021701,NA,NA,NA,3.424,5.016,4498380,141162,44347.5344450709,14544.4542085867,0,0
"7_20021701","antibioticTrial-4Feb2020",NA,NA,"2/17/20","2/17/20 0:00",NA,NA,NA,"air","2/17/20 0:00","run20021701","2/17/20",2,"gc180508",7,20021701,NA,NA,NA,NA,5.039,0,4863.71875,0,381.447533854872,0,15.7415997875055
"8_20021701","antibioticTrial-4Feb2020","PL","DeepHole","2/4/20","2/4/20 14:00","lab",NA,NA,"methSlurry","2/17/20 14:10","run20021701","2/17/20",1,"gc180508",8,20021701,NA,"control","control",3.445,5.026,97964.3,57635.8,994.656053873736,5865.09217066676,41.0475259023617,242.040976735204
"9_20021701","antibioticTrial-4Feb2020","PL","DeepHole","2/4/20","2/4/20 14:00","lab",NA,NA,"methSlurry","2/17/20 14:10","run20021701","2/17/20",2,"gc180508",9,20021701,NA,"control","control",3.446,5.026,39746.4,52618,421.093529112524,5343.68328538436,17.3777131062004,220.523443472326
"10_20021701","antibioticTrial-4Feb2020","PL","DeepHole","2/4/20","2/4/20 14:00","lab",NA,NA,"methSlurry","2/17/20 14:10","run20021701","2/17/20",3,"gc180508",10,20021701,NA,"control","control",3.442,5.022,278799,65026.1,2776.23881615881,6633.03192213205,114.569990574739,273.732360623092
"11_20021701","antibioticTrial-4Feb2020","PL","DeepHole","2/4/20","2/4/20 14:00","lab",NA,NA,"methSlurry","2/17/20 14:10","run20021701","2/17/20",4,"gc180508",11,20021701,NA,"control","control",3.442,5.021,137764,60269.4,1386.76254374607,6138.75442111112,57.229000128388,253.33448695903
"12_20021701","antibioticTrial-4Feb2020","PL","DeepHole","2/4/20","2/4/20 14:00","lab",NA,NA,"methSlurry","2/17/20 14:10","run20021701","2/17/20",1,"gc180508",12,20021701,NA,"algal","control",3.44,5.018,456642,79993.5,4528.34736165956,8188.32215880465,186.876111494726,337.91617172732
"13_20021701","antibioticTrial-4Feb2020","PL","DeepHole","2/4/20","2/4/20 14:00","lab",NA,NA,"methSlurry","2/17/20 14:10","run20021701","2/17/20",2,"gc180508",13,20021701,NA,"algal","control",3.439,5.017,443826,80037.5,4402.0841794194,8192.89428024281,181.665474889908,338.104854310039
"14_20021701","antibioticTrial-4Feb2020","PL","DeepHole","2/4/20","2/4/20 14:00","lab",NA,NA,"methSlurry","2/17/20 14:10","run20021701","2/17/20",3,"gc180508",14,20021701,NA,"algal","control",3.437,5.014,548842,89824,5436.70140368073,9209.82760875654,224.362120777198,380.071720123175
"15_20021701","antibioticTrial-4Feb2020","PL","DeepHole","2/4/20","2/4/20 14:00","lab",NA,NA,"methSlurry","2/17/20 14:10","run20021701","2/17/20",4,"gc180508",15,20021701,NA,"algal","control",3.437,5.015,502417,73853.8,4979.322483932,7550.33456803412,205.486979986105,311.587661429163
"16_20021701","antibioticTrial-4Feb2020","PL","DeepHole","2/4/20","2/4/20 14:00","lab",NA,NA,"methSlurry","2/17/20 14:10","run20021701","2/17/20",1,"gc180508",16,20021701,NA,"control","antibiotics",3.439,5.016,277343,73651,2761.89430981193,7529.26124467822,113.97802062338,310.71800625245
"17_20021701","antibioticTrial-4Feb2020","PL","DeepHole","2/4/20","2/4/20 14:00","lab",NA,NA,"methSlurry","2/17/20 14:10","run20021701","2/17/20",2,"gc180508",17,20021701,NA,"control","antibiotics",3.443,5.022,43362.4,44948.9,456.71834707292,4546.77290989725,18.8478802381464,187.636498128483
"18_20021701","antibioticTrial-4Feb2020","PL","DeepHole","2/4/20","2/4/20 14:00","lab",NA,NA,"methSlurry","2/17/20 14:10","run20021701","2/17/20",3,"gc180508",18,20021701,NA,"control","antibiotics",3.439,5.015,185262,69844.7,1854.71265532873,7133.74156672166,76.5403935003933,294.395676375115
"19_20021701","antibioticTrial-4Feb2020","PL","DeepHole","2/4/20","2/4/20 14:00","lab",NA,NA,"methSlurry","2/17/20 14:10","run20021701","2/17/20",4,"gc180508",19,20021701,NA,"control","antibiotics",3.438,5.01,154846,66967.6,1555.05434142292,6834.77678059109,64.1740761648652,282.057979585561
"20_20021701","antibioticTrial-4Feb2020","PL","DeepHole","2/4/20","2/4/20 14:00","lab",NA,NA,"methSlurry","2/17/20 14:10","run20021701","2/17/20",1,"gc180508",20,20021701,NA,"algal","antibiotics",3.436,5.013,397143,73792.2,3942.1634446724,7543.93359802069,162.685438324467,311.323505813357
"21_20021701","antibioticTrial-4Feb2020","PL","DeepHole","2/4/20","2/4/20 14:00","lab",NA,NA,"methSlurry","2/17/20 14:10","run20021701","2/17/20",2,"gc180508",21,20021701,NA,"algal","antibiotics",3.436,5.012,323167,72717.3,3213.35217989412,7432.23874952333,132.60881118043,306.714076082346
"22_20021701","antibioticTrial-4Feb2020","PL","DeepHole","2/4/20","2/4/20 14:00","lab",NA,NA,"methSlurry","2/17/20 14:10","run20021701","2/17/20",3,"gc180508",22,20021701,NA,"algal","antibiotics",3.437,5.01,247468,100555,2467.56592580561,10324.9056804145,101.831659155767,426.088829103991
"23_20021701","antibioticTrial-4Feb2020","PL","DeepHole","2/4/20","2/4/20 14:00","lab",NA,NA,"methSlurry","2/17/20 14:10","run20021701","2/17/20",4,"gc180508",23,20021701,NA,"algal","antibiotics",3.435,5.011,322875,72359.1,3210.47539702784,7395.01752454263,132.490091931943,305.178028329394
"24_20021701","antibioticTrial-4Feb2020",NA,NA,"2/17/20","2/17/20 0:00",NA,NA,NA,"air","2/17/20 0:00","run20021701","2/17/20",3,"gc180508",24,20021701,NA,NA,NA,NA,5.023,0,4877.21436,0,382.849887668557,0,15.7994722091002
"25_20021701","antibioticTrial-4Feb2020",NA,NA,"2/17/20","2/17/20 0:00",NA,NA,NA,"standard034","2/17/20 0:00","run20021701","2/17/20",2,"gc180508",25,20021701,NA,NA,NA,3.439,5.023,4188.39404,3269.57837,70.7761924533203,215.797456426625,0,0
"26_20021701","antibioticTrial-4Feb2020",NA,NA,"2/17/20","2/17/20 0:00",NA,NA,NA,"standard035","2/17/20 0:00","run20021701","2/17/20",2,"gc180508",26,20021701,NA,NA,NA,3.435,5.018,1876.25696,10424.7,47.997026918342,959.299388181235,0,0
